variable,charge,p_min,p_max,cos_min,cos_max,threshold,data_efficiency,data_uncertainty_stat_up,data_uncertainty_stat_dn,data_uncertainty_sys_up,data_uncertainty_sys_dn,MC_efficiency,MC_uncertainty_stat_up,MC_uncertainty_stat_dn,MC_uncertainty_sys_up,MC_uncertainty_sys_dn,data_MC_ratio,data_MC_uncertainty_stat_up,data_MC_uncertainty_stat_dn,data_MC_uncertainty_sys_up,data_MC_uncertainty_sys_dn
kaonID,-1,1,1.5,-0.1045,0.225,0.6,0.876134,0.00470663,0.00470663,0.000142148,0.000195535,0.892875,0.00526957,0.00526957,0.000186724,0.000164536,0.98125,0.00783097,0.00783097,0.000259721,0.000283999
kaonID,-1,1.5,2,-0.1045,0.225,0.6,0.885641,0.00442012,0.00442012,0.00013842,0.000213631,0.922055,0.00439373,0.00439373,0.00014983,0.000212445,0.960508,0.00662788,0.00662788,0.000216557,0.0003204
kaonID,-1,2,2.5,-0.1045,0.225,0.6,0.84923,0.00507393,0.00507393,0.000235347,0.000214974,0.910096,0.00472221,0.00472221,0.000206519,0.000178368,0.933121,0.00738406,0.00738406,0.000334226,0.000298732
kaonID,-1,2.5,3,-0.1045,0.225,0.6,0.801381,0.00622587,0.00622587,0.000258822,0.000432324,0.890253,0.00591745,0.00591745,0.000327758,0.000220787,0.900172,0.0092037,0.0092037,0.000440858,0.000534477
kaonID,-1,3,3.5,-0.1045,0.225,0.6,0.721531,0.009252,0.009252,0.000344688,0.000224163,0.825112,0.00899392,0.00899392,0.000516449,0.000218694,0.874464,0.0147169,0.0147169,0.000688544,0.00035711
kaonID,-1,3.5,4.5,-0.1045,0.225,0.6,0.691574,0.0138964,0.0138964,0.000374546,9.36483e-05,0.772536,0.0164582,0.0164582,0.000145678,0.000345249,0.8952,0.0262162,0.0262162,0.000513374,0.00041803
kaonID,-1,0.5,1,0.225,0.5,0.6,0.898241,0.00551037,0.00551037,0.000164505,0.000172337,0.890282,0.0063546,0.0063546,0.000206434,0.000200205,1.00894,0.00949588,0.00949588,0.000298119,0.000298245
kaonID,-1,1,1.5,0.225,0.5,0.6,0.835607,0.00528944,0.00528944,0.000228018,0.000187579,0.865571,0.00587476,0.00587476,0.00026418,0.000197185,0.965382,0.00895961,0.00895961,0.000395235,0.000308755
kaonID,-1,1.5,2,0.225,0.5,0.6,0.843972,0.00501601,0.00501601,0.000107898,0.000219709,0.892456,0.00507304,0.00507304,0.000138373,0.000243738,0.945674,0.00777728,0.00777728,0.000190041,0.000356807
kaonID,-1,2,2.5,0.225,0.5,0.6,0.786917,0.00567396,0.00567396,0.000201162,0.00028842,0.866941,0.00548476,0.00548476,0.000250306,0.000305884,0.907694,0.008707,0.008707,0.000350033,0.000461789
kaonID,-1,2.5,3,0.225,0.5,0.6,0.73377,0.00637527,0.00637527,0.000271844,0.00035995,0.807294,0.00660121,0.00660121,0.00026679,7.66159e-05,0.908925,0.0108445,0.0108445,0.000451239,0.00045414
kaonID,-1,3,3.5,0.225,0.5,0.6,0.648477,0.00821185,0.00821185,4.35316e-05,0.00036333,0.735231,0.00860969,0.00860969,0.000266837,7.0157e-05,0.882004,0.0152127,0.0152127,0.000325535,0.000501287
kaonID,-1,3.5,4.5,0.225,0.5,0.6,0.716638,0.00939295,0.00939295,5.63738e-05,0.000364531,0.719963,0.0104566,0.0104566,5.64624e-05,7.32325e-05,0.995382,0.0194732,0.0194732,0.000110565,0.000516343
kaonID,-1,0.5,1,0.5,0.766,0.6,0.920885,0.00514555,0.00514555,0.00012907,0.000400435,0.901664,0.00634781,0.00634781,0.00021316,0.000200686,1.02132,0.00917962,0.00917962,0.000280691,0.000498903
kaonID,-1,1,1.5,0.5,0.766,0.6,0.886849,0.00480211,0.00480211,0.000154587,0.000429578,0.901663,0.00525319,0.00525319,0.000209869,0.000244916,0.98357,0.00782317,0.00782317,0.000286015,0.000546224
kaonID,-1,1.5,2,0.5,0.766,0.6,0.894851,0.00438554,0.00438554,0.000232196,0.000177845,0.924433,0.00452956,0.00452956,0.000162327,0.000273375,0.968,0.00670837,0.00670837,0.000303285,0.000344899
kaonID,-1,2,2.5,0.5,0.766,0.6,0.856051,0.00468782,0.00468782,0.000275512,0.000305974,0.883904,0.00500068,0.00500068,0.000260881,0.000201358,0.968489,0.00762557,0.00762557,0.000422923,0.000410493
kaonID,-1,2.5,3,0.5,0.766,0.6,0.803752,0.00510848,0.00510848,0.000188125,0.000362389,0.829187,0.0057093,0.0057093,0.000318697,0.000235359,0.969325,0.009083,0.009083,0.000436204,0.000516435
kaonID,-1,3,3.5,0.5,0.766,0.6,0.766583,0.00595795,0.00595795,0.000246343,0.000211121,0.773498,0.00663468,0.00663468,4.98096e-05,0.000239249,0.99106,0.0114714,0.0114714,0.000324811,0.000410447
kaonID,-1,3.5,4.5,0.5,0.766,0.6,0.782905,0.00603778,0.00603778,3.47131e-05,0.000220245,0.785212,0.0067567,0.0067567,4.77912e-05,0.000239535,0.997062,0.0115211,0.0115211,7.50806e-05,0.00041375
kaonID,-1,0.5,1,0.766,0.8829,0.6,0.955502,0.00662761,0.00662761,0.000124008,0.000239205,0.927466,0.00794474,0.00794474,0.000186231,0.000182499,1.03023,0.0113554,0.0113554,0.000246314,0.000328046
kaonID,-1,1,1.5,0.766,0.8829,0.6,0.880259,0.00691369,0.00691369,0.000226387,0.000601304,0.899033,0.00740302,0.00740302,0.00013644,0.000242704,0.979118,0.0111419,0.0111419,0.000292385,0.00071917
kaonID,-1,1.5,2,0.766,0.8829,0.6,0.903871,0.00593889,0.00593889,0.000266436,0.000180878,0.917536,0.00680476,0.00680476,0.000165291,0.000158512,0.985107,0.0097607,0.0097607,0.000340316,0.000260433
kaonID,-1,2,2.5,0.766,0.8829,0.6,0.900719,0.00581686,0.00581686,0.00032131,0.000224317,0.911802,0.00665571,0.00665571,0.000254825,0.000179134,0.987845,0.00962776,0.00962776,0.000447658,0.00031335
kaonID,-1,2.5,3,0.766,0.8829,0.6,0.889602,0.00575643,0.00575643,9.92069e-05,0.000241435,0.919078,0.00584233,0.00584233,0.000162926,0.000212203,0.967929,0.00877987,0.00877987,0.000202714,0.000344894
kaonID,-1,3,3.5,0.766,0.8829,0.6,0.868156,0.00619915,0.00619915,0.000100846,4.16413e-05,0.884262,0.00690033,0.00690033,0.000310393,0.000253779,0.981786,0.0103848,0.0103848,0.000363006,0.000285676
kaonID,-1,3.5,4.5,0.766,0.8829,0.6,0.851624,0.00605727,0.00605727,0.000122511,2.43721e-05,0.859058,0.00670793,0.00670793,0.000317144,6.77864e-05,0.991346,0.0104709,0.0104709,0.000392786,8.32109e-05
kaonID,-1,0.5,1,0.8829,0.9563,0.6,0.977603,0.00900564,0.00900564,0.000160156,0.000160848,0.982932,0.00825412,0.00825412,0.000344617,0.000145224,0.994578,0.0123975,0.0123975,0.00038489,0.000219934
kaonID,-1,1,1.5,0.8829,0.9563,0.6,0.967521,0.00640831,0.00640831,0.000127722,0.000281089,0.966496,0.00666337,0.00666337,0.000371326,0.000116503,1.00106,0.00957058,0.00957058,0.000406676,0.000314873
kaonID,-1,1.5,2,0.8829,0.9563,0.6,0.962613,0.00614196,0.00614196,9.01499e-05,0.00029533,0.96726,0.00597642,0.00597642,0.00038219,5.33104e-05,0.995196,0.00883918,0.00883918,0.000404122,0.000310214
kaonID,-1,2,2.5,0.8829,0.9563,0.6,0.972392,0.00568187,0.00568187,6.12617e-05,0.000301533,0.9756,0.00582576,0.00582576,0.000392393,0.000102591,0.996712,0.00832724,0.00832724,0.000405772,0.000326362
kaonID,-1,2.5,3,0.8829,0.9563,0.6,0.960391,0.00627933,0.00627933,3.06431e-05,0.000311058,0.964578,0.00632958,0.00632958,0.000163933,0.000189787,0.995659,0.00922313,0.00922313,0.000172172,0.000377322
kaonID,-1,3,3.5,0.8829,0.9563,0.6,0.963744,0.00740469,0.00740469,0.000119365,0.000334706,0.967296,0.00767159,0.00767159,0.000183445,0.00026216,0.996328,0.0110018,0.0110018,0.000225677,0.000438915
kaonID,-1,3.5,4.5,0.8829,0.9563,0.6,0.948474,0.00836241,0.00836241,0.00012623,0.000353452,0.974914,0.00752949,0.00752949,0.000237095,0.000152856,0.97288,0.0114032,0.0114032,0.000269711,0.000393329
